Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
171647.0,375.0,,,,,402.0,,,,32.0,
172089.0,375.0,,,,,402.0,,,,21.7,
176543.0,375.0,,,,,407.0,,,,22.9,
643422.0,375.0,,,,,407.0,,,,20.4,
212314.0,375.0,,,,,307.0,,,,39.4,
825996.0,375.0,,,,,408.0,,,,14.9,
602809.0,375.0,,,,,408.0,,,,23.8,
826042.0,375.0,,,,,304.0,,,,22.6,
166846.0,375.0,,,,,404.0,,,,20.2,
166905.0,375.0,,,,,404.0,,,,19.4,
603011.0,375.0,,,,,303.0,,,,20.0,
741203.0,375.0,,,,,303.0,,,,13.1,
412702.0,375.0,,,,,203.0,,,,20.1,
602975.0,375.0,,,,,203.0,,,,19.8,
166668.0,375.0,,,,,403.0,,,,21.7,
741168.0,375.0,,,,,203.0,,,,17.3,
550127.0,375.0,,,,,404.0,,,,21.3,
165859.0,375.0,,,,,103.0,,,,34.9,
167747.0,375.0,,,,,103.0,,,,26.6,
549998.0,375.0,,,,,103.0,,,,23.7,
742157.0,365.0,,,,,4.0,,,,8.1,
